lon,lat,value
-107.84740922607509,48.87646140115898,-10.869778900663778
-107.85057105150466,48.8942385758518,-10.86189413489942
-107.8569040050821,48.92979230186729,-10.855244540614008
-107.81730674483981,48.86076413209754,-10.889425990333498
-107.82045615799605,48.87854280884043,-10.885423798631027
-107.82360865809103,48.89632127895814,-10.87868566387305
-107.82676424898521,48.91409954225439,-10.871049649529686
-107.82992293454576,48.931877598532566,-10.862619309798404
-107.83308471864643,48.94965544759572,-10.853470365547096
-107.83624960516771,48.96743308924661,-10.851401368578909
-107.83941759799676,48.98521052328765,-10.8503077776175
-107.79035991020754,48.8628380130539,-10.914280441427234
-107.79350000297939,48.88061798054845,-10.90715917165148
-107.79664317387929,48.898397742316874,-10.897177439664905
-107.79978942675739,48.91617729816408,-10.88741968017048
-107.8029387654704,48.933956647894625,-10.877681834191518
-107.80609119388176,48.95173579131275,-10.867286254285249
-107.80924671586152,48.96951472822242,-10.856035222719363
-107.81240533528641,48.987293458427224,-10.849952850405534
-107.7014333304605,48.50923785227179,-10.84094822990831
-107.70450350906924,48.52702316309087,-10.841988263299095
-107.76028229822548,48.847124200932555,-10.941982895920468
-107.76341000129182,48.86490566004087,-10.928237381439931
-107.76654076983577,48.88268691451331,-10.908766129278186
-107.76967460769048,48.900467964156235,-10.891898706960994
-107.7728115186957,48.91824880877573,-10.882702623276298
-107.7759515066978,48.936029448177564,-10.880093198099656
-107.77909457554979,48.95380988216717,-10.878396433346705
-107.7822407291113,48.97159011054965,-10.867112116720996
-107.78538997124863,48.98937013312982,-10.85427684264211
-107.67160703681675,48.493487009127485,-11.002000905730617
-107.67466508011645,48.51127378546827,-10.841344117248388
-107.67772610498669,48.529060361850014,-10.84250433292862
-107.68079011512134,48.54684673808642,-10.844130897439156
-107.73333864308074,48.849184329878355,-10.950166354625066
-107.73645702689959,48.866967071295704,-10.930925452222953
-107.73957846738249,48.884749608970196,-10.897741785586184
-107.74270296835225,48.902531942709366,-10.872120236119462
-107.74583053363826,48.92031407232048,-10.862411877490493
-107.74896116707643,48.93809599761048,-10.86503455741884
-107.75209487250942,48.95587771838596,-10.87184461088056
-107.75523165378637,48.97365923445326,-9.086656195394552
-107.75837151476317,48.99144054561834,-10.86259891097422
-107.6417990285136,48.47772728270611,-10.840187231298348
-107.64484495371975,48.49551551891893,-10.84085977395397
-107.64789384820295,48.513303556225104,-10.841775553831102
-107.65094571564074,48.53109139443975,-10.843039785967852
-107.65400055971702,48.54887903337773,-10.844806454806475
-107.66011919255195,48.58445371268151,-10.998953388958144
-107.66624977630485,48.620027592649095,-10.858906606052235
-107.67239234067425,48.65560067178839,-10.86991735796131
-107.687801362612,48.74452985617721,-10.905382996127576
-107.69089221599748,48.76231508924281,-11.002000905730617
-107.69398609448973,48.78010012059719,-10.997548870509672
-107.70018294189411,48.815669577414305,-10.9555450378631
-107.70328591837227,48.83345400249733,-10.9604052476525
-107.70639193508924,48.85123822510963,-10.954151565777217
-107.70950099584435,48.8690222450606,-10.927394531245572
-107.71261310444345,48.8868060621593,-10.871022001462284
-107.7157282646989,48.90458967621443,-10.862532139008264
-107.7188464804297,48.922373087034416,-10.862298543580868
-107.7219677554614,48.94015629442742,-10.861214276516726
-107.72509209362616,48.957939298201175,-10.858856067275664
-107.7282194987627,48.97572209816322,-10.87155430704977
-107.73134997471647,48.99350469412069,-10.868463984808349
-107.60595050345795,48.42637871152499,-10.839194862257717
-107.60897842473005,48.44416879713823,-11.002000905730611
-107.612009295702,48.4619586852583,-10.839962039698868
-107.61504312002256,48.47974837570233,-10.840527384594951
-107.61807990134676,48.497537868287154,-10.841271236026536
-107.62111964333587,48.515327162829365,-10.842263856351025
-107.6241623496574,48.5331162591452,-10.843611962917873
-107.62720802398513,48.550905157050636,-10.84547606093489
-107.63025666999917,48.56869385636134,-10.848091875319042
-107.63330829138586,48.58648235689268,-10.8512628843239
-107.63636289183788,48.60427065845974,-10.854961139955506
-107.63942047505424,48.62205876087729,-10.860171933744985
-107.64248104474031,48.639846663959794,-10.86740199366567
-107.64554460460775,48.65763436752144,-10.877166271311657
-107.6486111583746,48.675421871376116,-10.88516566631196
-107.65168070976534,48.69320917533737,-10.894716455730336
-107.65475326251075,48.710996279218506,-11.000217812717144
-107.6578288203481,48.72878318283249,-10.9028298780103
-107.66090738702098,48.746569885991974,-10.90731931545593
