lon,lat,value
-102.61552584181089,35.83465782182154,-45.46837571703681
-102.29934658451819,35.68155767138742,-38.327911164666496
-102.30008887381874,35.69956050611931,-45.46837571703682
-102.30157542874106,35.735565973440956,-45.46837571703683
-102.2772807584151,35.682161006562175,-38.32791116466651
-102.27801810508646,35.70016423910285,-43.98997150241749
-102.27875610596477,35.71816740444705,-45.46837571703679
-102.27949476163492,35.73617050256898,-43.93047208763173
-102.25448252448655,35.664756611440346,-34.729885753280726
-102.2552142786892,35.68276030613123,-38.29414377781042
-102.25594668214733,35.7007639338257,-38.32791116466649
-102.25667973544111,35.7187674944981,-41.89105625114367
-102.25741343915145,35.736770988122835,-41.89814344085164
-102.29340769884368,36.600859332492256,-54.530270107440586
-102.23242033493035,35.665351482695414,-41.89814344085165
-102.23314714970793,35.683355569711644,-41.898143440851634
-102.23387460937272,35.70135958990451,-41.89814344085164
-102.23460271450098,35.719363543248605,-43.91443959414075
-102.23533146566979,35.737367429718454,-45.46837571703681
-102.27489520097016,36.69147704954664,-53.51227072253403
-102.21035750106256,35.665942320236,-38.32791116466649
-102.21180189113475,35.70195120695856,-41.89814344085165
-102.21252504752044,35.719955550317415,-43.91443943339392
-102.21324884556984,35.737959826974325,-41.89814344085164
-102.21397328585692,35.75596403690404,-43.08822086624671
-102.24951314397607,36.620087148597776,-54.49848639775849
-102.18614703584994,35.61251413394236,-37.88951489136393
-102.18686206501326,35.63051919693701,-38.327911164666496
-102.18757772862402,35.64852419352611,-38.32797787083027
-102.18829402724838,35.66652912368462,-38.32791116466649
-102.18901096145326,35.684533987387475,-40.7080660154566
-102.1897285318064,35.7025387846096,-45.46837571703681
-102.19044673887632,35.72054351532594,-45.4683757170368
-102.19188506544448,35.75655277714115,-45.46837571703682
-102.19260518608372,35.7745573081899,-41.79186380127718
-102.19332594572172,35.792561772632695,-43.84960966403127
-102.20056881337486,35.97260274822765,-42.647623739958526
-102.201296639959,35.990606478353584,-42.665621963928
-102.22718170572806,36.62069470372112,-54.498486743884534
-102.22943806568793,36.674698417655044,-52.679810837599575
-102.23700281961702,36.85470638320733,-55.49868113681553
-102.23928537627434,36.90870744602025,-54.98397641782813
-102.16338825210435,35.59509023779891,-37.88951489136393
-102.16480782480191,35.63110119770568,-38.32791116466651
-102.16551855600251,35.64910657831672,-38.3279111646665
-102.16622991785378,35.66711189266637,-38.32791116466649
-102.16694191091881,35.685117140729744,-42.98012258722736
-102.16836779294626,35.72112743789822,-43.088220866246694
-102.1697962066051,35.75713746962323,-44.08524774324414
-102.17122715642819,35.79314723570597,-41.791863801277174
-102.17194358382127,35.81115201906936,-43.826914715536795
-102.17914291815393,35.991196191926385,-46.27087472645831
-102.17986637024987,36.009200242588456,-46.39746466823094
-102.20484960069165,36.62129808201668,-54.49848556343754
-102.2055958748164,36.639299781422366,-54.4984907455349
-102.20634281175724,36.657301413204586,-54.49847816408949
-102.21384877025218,36.8373140063115,-55.29206709229502
-102.21460303849199,36.85531489260839,-55.48751298113192
-102.21535797690159,36.87331571098602,-55.78447862174916
-102.2168698667048,36.909317143885005,-55.41726160111278
-102.1562707608027,35.97377732069013,-42.6487943233012
-102.1569885548649,35.99178182267929,-42.35097446585606
-102.18177639581522,36.60389512536957,-54.4984839901131
-102.18325792870615,36.63989937339508,-54.498478068104944
-102.18921043794931,36.78391366575258,-54.84006572507047
-102.18995747910365,36.80191514817253,-55.21347425068234
-102.19145355311564,36.83791790999374,-55.52215347037005
-102.19520538501646,36.92792362913101,-55.109746652017286
-102.15871353553312,36.586487147894196,-54.49847893554146
-102.16091932436463,36.64049478503928,-54.498477766408776
-102.16683023243212,36.784512189225424,-54.840066042333184
-102.17054593057698,36.874520875141876,-55.86001848035053
-102.17203683613093,36.910523876601836,-56.108713661091045
-102.17502660491702,36.98252906775912,-55.96392884285111
-102.13347851331115,36.51506456084156,-54.28028312823697
-102.13784933065281,36.62308315202992,-54.49846034490928
-102.14592322043806,36.821110961381436,-55.221535897126465
-102.14666112871093,36.83911308599706,-55.24762118838694
-102.14887878989067,36.8931190556157,-56.01276926753651
-102.1496193244233,36.911120910665765,-56.112180423558655
-102.15036051703723,36.92912269826441,-55.97575744458948
-102.15110236834076,36.94712441838759,-56.068351909807674
-102.122067850616,36.78569662822958,-54.99809640137791
-102.1227992272888,36.80369927180429,-55.21348010701461
-102.12426393070723,36.8397043575385,-55.53172853715096
-102.12941093149968,36.965720040247625,-55.977233927382656
-102.09245949948861,36.606248614040105,-54.49849202065889
-102.09317923400121,36.62425230745129,-54.4984882288829
-102.09389960781176,36.6422559341442,-52.91137202861937
-102.10697632881116,36.96630977882118,-56.14188874682144
-102.10770896163717,36.984312133373365,-55.95815716844332
-102.06656538126448,36.51680519606525,-54.427760960090936
-102.06870145447583,36.570818205493026,-54.49839954184333
-102.06941474405126,36.58882240904944,-54.498411933934825
-102.07012866717807,36.60682654610693,-54.498491759389886
-102.07084322443679,36.62483061664202,-54.49846910122298
-102.07227424367613,36.66083855805107,-54.49847608631922
-102.0744255430849,36.714849970659685,-54.280315067437094
-102.07586292987803,36.75085724578837,-53.58069465304236
-102.07658258118964,36.76886078329921,-53.79494103906536
-102.0470884508629,36.589395790088005,-54.49842299043499
-102.04779720073577,36.60740030137841,-54.49849113494337
-102.04850658015923,36.62540474631739,-54.49848699149098
-102.05135040491454,36.69742186209339,-50.69582726525017
-102.052776109641,36.733430021267516,-53.06429659723626
-102.05348991212513,36.75143400109469,-53.580707548069405
