X,Y,C1
173221.49502834742,4222027.676783727,72.8759720467415
174626.25283898937,4221335.935510497,73.34906102647751
174641.19928798522,4223054.18282598,73.77349410623816
173753.66912333784,4223608.658250822,71.10933054023057
176223.6270259843,4221912.308977389,72.92393501899227
179397.74077128153,4237174.446285455,73.57237554422836
180068.59811067674,4236306.250388241,73.60455708755167
180136.97552812804,4235883.278468576,73.6372509024428
180549.4948220536,4235644.631710712,73.57228397877904
183718.6441555344,4103915.6658941456,52.293902206554975
183802.09646955263,4103409.2650813856,52.07929259128295
184204.2560441053,4103393.900028201,51.95518181158383
184582.57909326657,4103401.339383811,52.16556951721962
183763.62400378,4232974.094938609,72.69677227350549
184635.52427532745,4232163.676018064,73.26820997003723
183789.59053090904,4103067.730298011,52.51271145878637
184869.70123557,4210683.550435524,67.2810375128668
186758.67534045185,4229597.896044522,73.12429878060804
191679.9774568761,4202089.30808221,72.36762980226253
192066.1633889441,4207164.864964778,72.3700624735242
192472.76141092245,4208586.4028219255,71.83106864295436
193923.22593184764,4228344.82812192,72.7324580513217
194453.69924205885,4228587.85143055,72.91090426359592
194108.92774056748,4200450.46274251,71.89034613505089
194838.0702950688,4193883.418051199,72.09739499557102
199359.39964056067,4138941.433788514,56.85533355499403
199533.58402718976,4138258.357031713,57.01458319455532
201034.3690452384,4132088.265053385,56.517251643426256
201119.0862633944,4138677.158680189,56.12947691503811
201154.78282290028,4137020.005100573,56.587128454967086
201167.4648120888,4139905.6706356895,56.37591666028741
202859.17353032192,4139830.877323212,56.3266668222624
203405.09368981663,4131380.0954357353,56.496416791593056
204843.9348813996,4131389.282066535,56.41087981347656
204112.6735427056,4128556.33315031,56.10789469115911
204245.8672746193,4119195.735739066,59.25199287205644
204254.8127835337,4126936.982756164,58.89174469752753
204821.55313497045,4125909.335039672,58.38364059502301
205390.4342735065,4136091.8040079153,56.29377997750514
206166.9419275191,4135636.6533095534,56.07117447123976
205399.9441369397,4119356.029243139,58.478782046350645
206259.86577553907,4120151.587300548,58.84486813695922
206056.8510012372,4116985.0295333634,59.11233467874266
206181.14400375856,4118593.069383584,59.177205087473375
207277.0581122856,4132079.545360062,56.71730977648196
207352.6478311317,4135332.834180226,56.15659761123007
207423.85790783344,4136480.479851556,56.29239412205597
208960.70078346063,4135278.958961938,56.40530669477739
207775.60261236585,4116922.952236562,58.80685996610046
207835.83080119416,4118536.8779504513,59.068286748135804
208824.07191856703,4117362.533113439,59.33084201246549
208596.13861370896,4119252.447163621,59.17840038779827
208938.0395923658,4121525.215333256,56.19566636118739
209065.87426774297,4136490.977885039,56.20551335910215
210220.02088549087,4136430.902740237,56.43738677368388
209094.90933489244,4137733.42803337,56.40349023424222
210898.7205252608,4119836.340941279,56.48143965377449
211222.81504095183,4123264.259034643,56.4732779550756
212194.12074909703,4142798.6381389233,56.408833201947154
212656.794615352,4141974.969493754,56.10719681395077
211468.21451102488,4136807.77511467,56.30817060149968
212254.79970471963,4139114.1620773394,56.50432854136271
