lon,lat,value
-103.07276834511364,38.95697789809183,-2.0020366720347336
-103.0758648150826,39.01090920979253,-1.8221375631841104
-103.0487188780104,38.939802676529496,-1.843548771222154
-103.0497434059113,38.957780449088766,-1.9455002760821485
-103.05076884954167,38.97575814339961,-1.6898955697361862
-103.05282248756424,39.01171329714348,-1.7131131277033709
-103.05385068374632,39.029690756510256,-1.644536176220584
-103.00267783186182,38.94139317667264,-1.6374499697924216
-102.92963603180148,38.871823053076845,-1.820923259283102
-102.9306280659979,38.88980364820676,-1.6839968759799706
-102.90466469296025,38.83663354655958,-1.6140520979456665
-102.90564919635835,38.854614788213,-1.696246800548993
-102.90663457945595,38.87259595330302,-1.73020137346894
-102.88265262973252,38.85538268046413,-1.6365038957896425
-102.8596551885283,38.85614605734149,-1.5325416428733365
-102.86062903822564,38.87412820005705,-1.5494904312435758
-102.83762495959375,38.87488754554773,-1.4783235697136436
-102.81462001578802,38.87564237176111,-1.5133592626697348
-102.79161421193797,38.876392678186136,-1.595745859235575
-102.7686075531743,38.87713846431481,-1.6838628376981766
-102.74560004462897,38.877879729642146,-1.5400774666360004
-102.72259169143511,38.87861647366619,-1.538691035626642
-102.72353176030302,38.896601405603576,-1.467952749451537
-102.69771641947362,38.84337767369583,-1.571021595621562
-102.69958249872701,38.879348695888,-1.660392606778759
-102.70051678951641,38.897334095312935,-1.6564673746179062
-102.67471793476369,38.84410444509122,-2.0339372252731858
-102.67657247164023,38.88007639581167,-1.9448580106586824
-102.62780399038937,38.82755743043329,-1.4983752804574697
-102.55255801223835,38.70376158908301,-2.0070821645854497
-102.48806337966829,38.79578666172344,-2.0253199098256234
-102.4394899432492,38.74317915796258,-1.4772103026803571
-102.39610491554926,38.79849873268611,-1.3446781434303914
-102.35434736130648,38.88978908294887,-1.7779154323088686
-102.35859257263073,38.97974870162122,-1.7893197835655423
-102.35944389465794,38.997740411635625,-1.6840088611627273
-102.26307952529069,38.91039486863543,-1.362026109271215
-102.23923026369576,38.89304282034866,-1.4069875048485256
-102.22027576165904,38.98365203100536,-1.594710152419392
-102.19398524483687,38.912307552545926,-1.6057236171471811
-102.195601363579,38.948297253756806,-1.373341476704989
-102.2235226594316,39.560079314284145,-1.3773176807078813
-102.16855097229742,38.85894976604684,-1.521056673405536
-102.16935072187913,38.876945261451915,-1.3919320196048572
-102.17015118671523,38.89494068736647,-1.4601272089925506
-102.20027766400679,39.5607223826765,-1.3585333192710518
-102.14553475145362,38.85957252723517,-1.5958369242013646
-102.14632871514728,38.87756842053542,-1.5348303881985446
-102.17703192611313,39.56136081037405,-1.3585333192710514
-102.17785410575347,39.579353984262,-1.1250668225587914
-102.11937214843637,38.7882049171585,-1.6681181280461843
-102.12094357905026,38.82419797709001,-1.5512755952369262
-102.12173034834254,38.84219440352449,-1.5519581615923572
-102.12330599831803,38.878187049217324,-1.3368006055556791
-102.12409488037235,38.89618326843025,-1.5989830018824236
-102.15378545110225,39.56199459693791,-1.125066822558794
-102.09637761150454,38.788817056348606,-1.7462932397618456
-102.09715720903112,38.80681401216301,-1.3765377119069728
-102.09793750362029,38.82481089916566,-1.3740311501080953
-102.09950018669976,38.860804466645725,-1.3385385979522262
-102.0710650324972,38.73543223439066,-1.4852260035192566
-102.07183679092807,38.75342978439381,-1.5165261708717588
-102.07803575152404,38.89740771466181,-1.3022548287247546
-102.04808638122064,38.7360341839281,-1.4918271073740008
-102.04885238701551,38.75403211894249,-1.339089874044403
