lon,lat,value
-110.0518979833482,38.812648911489156,1.6653345369377348e-16
-110.05743880180492,38.84802488622759,1.6653345369377348e-16
-110.0602128639821,38.86571254282073,1.6653345369377348e-16
-109.91153732917616,38.64646303246327,1.6653345369377348e-16
-109.85559321144471,38.57991516648487,1.6653345369377348e-16
-109.81048887594397,38.58414057208794,1.6653345369377348e-16
-109.81317628379838,38.60184379297256,1.6653345369377348e-16
-109.77990108093098,38.533131990425645,1.6653345369377348e-16
-109.78257609187835,38.55083717103404,1.6653345369377348e-16
-109.78525345317689,38.56854214085269,1.6653345369377348e-16
-109.78793316704126,38.58624689969865,1.6653345369377348e-16
-109.79061523568922,38.603951447388745,1.6653345369377348e-16
-109.75469167525765,38.51752338433347,1.6653345369377348e-16
-109.75735901458603,38.53523009723954,1.6653345369377348e-16
-109.76002869757279,38.55293660016588,1.6653345369377348e-16
-109.81120092430662,38.8893200162306,1.6653345369377348e-16
-109.7348146045832,38.53732395852693,1.6653345369377348e-16
-109.73747895740163,38.555031781171536,1.6653345369377348e-16
-109.74014565159801,38.57273939428121,1.6653345369377348e-16
-109.71492687585301,38.557122712685825,1.6653345369377348e-16
-109.46773474882114,37.322964729584626,1.6653345369377348e-16
-109.47022256656699,37.340691670189436,1.6653345369377348e-16
-109.47769910372905,37.393871320308605,1.6653345369377348e-16
-109.44057752856861,37.28949164743755,1.6653345369377348e-16
-109.44305596261246,37.307220242180605,1.6653345369377348e-16
-109.42829385798957,37.3623872232633,1.6653345369377348e-16
-109.56029054465414,38.284038024096034,1.6653345369377348e-16
-109.39619479583268,37.2934422001707,1.6653345369377348e-16
-109.40113369062864,37.328904238501266,1.6653345369377348e-16
-109.40360638393634,37.34663496782225,1.6653345369377348e-16
-109.40608124381978,37.364365503695694,1.6653345369377348e-16
-109.41600238875915,37.4352857094366,1.6653345369377348e-16
-109.53521918282738,38.26836243348792,1.6653345369377348e-16
-109.37400018636771,37.29541136646857,1.6653345369377348e-16
-109.51015836645122,38.25267984578147,1.6653345369377348e-16
-109.34444145488028,37.24417442775099,1.6653345369377348e-16
-109.35180342049712,37.29737645771252,1.6653345369377348e-16
-109.3542617107373,37.31511008428211,1.6653345369377348e-16
-109.3789634155112,37.49243576434814,1.6653345369377348e-16
-109.38392977998178,37.52789858229554,1.6653345369377348e-16
-109.39638383976724,37.616552230412445,1.6653345369377348e-16
-109.31981296450346,37.228396049035915,1.6653345369377348e-16
-109.32225763398105,37.24613169124737,1.6653345369377348e-16
-109.32960450246858,37.299337472649434,1.6653345369377348e-16
-109.33205775183629,37.317072350836064,1.6653345369377348e-16
-109.36414634943783,37.547608290074535,1.6653345369377348e-16
-109.36662987671338,37.565340473773816,1.6653345369377348e-16
-109.3691155816058,37.58307246378707,1.6653345369377348e-16
-109.37658578202398,37.63626727007019,1.6653345369377348e-16
-109.37908021743749,37.65399848369796,1.6653345369377348e-16
-109.58055012318809,39.03642055361689,1.6653345369377348e-16
-109.58322382460852,39.05413587845617,1.6653345369377348e-16
-109.58589988198047,39.07185099518159,1.6653345369377348e-16
-109.5885782975561,39.08956590361295,1.6653345369377348e-16
-109.29763202740791,37.23034799577172,1.6653345369377348e-16
-109.30007167104257,37.248084884794444,1.6653345369377348e-16
